,1,2,3,4,5,6,7,8,9,10,11
w(t+1) - w(t),0.01700000000005275,-0.6879999999999882,-0.23584999999991396,-0.08799999999996544,-0.4339999999999691,-0.2763999999999669,0.009999999999990905,0.824500000000171,0.9314999999999145,0.0023500000000353793,0.8380999999999403
ucpu(t),86.8516129032258,87.55685,85.52466666666666,89.1761357142857,85.99769696969697,88.87091129032258,87.35615151515151,89.15093103448277,87.19529365079364,90.31558928571428,87.28760666666668
umem(t),86.8516129032258,86.8564,85.5246695652174,88.46273142857143,85.9977,88.15994838709678,87.35614545454546,88.43772413793103,87.19529523809523,89.59305714285713,87.28760799999999
