,0,4,9,25,26,48,67,68,75,95,1,14,18,34,61,69,2,17,27,36,3,8,12,15,35,45,57,62,76,84,16,38,56,59,94,5,71,88,6,20,73,99,7,31,50,86,93,11,24,44,80,82,91,30,37,46,60,10,49,53,55,52,63,66,13,47,65,78,29,42,74,40,43,51,64,83,28,96,19,70,89,21,32,77,22,87,23,33,92,97,54,58,81,90,79,41,85,39,98,72,101
0,332.9628,383.7118,17.8859,10.5211,340.3895,429.5097,31.8728,289.6405,12.3778,135.2894,7.9218,153.4847,216.6115,372.5718,14.9152,9.3452,321.8228,21.9087,24.0129,271.0738,23.7035,224.0382,220.3248,27.6025,17.3289,33.8533,18.6286,716.6746,243.8427,632.5056,339.1517,628.7922,363.9073,25.1269,1099.1486,23.5797,48.2734,496.3498,300.7805,309.445,5.9413,31.6872,8.6026,22.4038,157.1981,626.3167,110.6575,17.5765,377.5229,210.4226,420.8452,396.0896,66.2831,271.0738,12.0684,537.1965,264.8849,160.9114,12.3159,13.8631,7.7361,232.7026,2.1661,153.4847,8.7882,34.9673,4.0847,184.4292,16.71,381.2362,276.0249,805.7948,18.1335,14.7296,144.8203,37.5666,608.9878,3084.5478,16.6481,308.2072,18.5048,8.2312,354.0051,26.736,320.585,4.9511,8.2312,14.2345,199.2826,171.9276,164.6247,254.9827,54.0291,841.6904,27.7882,24.6318,43.1366,8.6026,1781.1654,357.7184,618.89
1,324.6704,353.2812,16.9799,10.5736,364.4768,444.0894,33.1512,261.2291,12.8749,135.155,8.9564,171.6648,197.7877,386.8678,15.9847,8.8942,310.987,22.8886,24.8168,273.6686,24.1326,257.4972,211.4712,27.8022,16.9177,30.8499,16.2335,721.4898,286.108,658.0485,296.0596,687.9032,371.9405,24.5058,1010.0858,22.8886,46.7724,485.1397,292.3278,317.2067,6.1575,32.8402,9.5784,21.5825,160.4693,660.5364,111.0846,17.4775,388.1118,202.7635,411.7468,493.8474,65.4939,301.0354,11.0711,491.3595,269.9367,204.0075,11.3821,14.6164,8.6454,259.9851,1.9903,153.0056,10.387,37.816,4.6026,177.8846,16.8555,410.5028,230.1304,825.9815,18.0994,16.3579,131.8585,35.2659,597.095,3094.9426,17.3531,268.6928,17.3531,7.7125,339.5978,23.0752,327.1583,5.2868,8.0857,12.9371,213.9591,172.8466,164.2011,273.6686,51.9348,786.1751,29.295,24.8168,45.6529,8.3345,1736.5514,396.8194,621.974
2,336.498,321.5977,14.2794,8.9402,402.3076,465.6338,33.5877,227.2293,12.9136,138.138,11.1131,162.6614,252.0631,429.6247,16.2661,9.0643,309.1808,23.5921,26.2617,254.5464,24.5855,237.1628,264.48,26.3238,17.8183,32.0977,15.397,736.3222,279.3802,624.5701,255.7881,651.8872,410.9994,23.53,1085.2371,23.2817,49.9159,484.2591,291.7972,320.356,7.0155,28.3726,10.1198,19.4324,172.5949,610.9115,107.5924,15.397,347.6732,214.8124,394.8574,481.7757,68.1688,312.9059,8.6297,466.8754,244.6129,196.187,10.9269,14.714,8.7539,247.0963,1.9246,158.9363,10.0577,38.1199,4.5943,198.6704,17.4457,415.9662,239.6462,746.2557,17.3216,15.7695,153.9696,36.6299,545.1019,3034.6904,17.3837,278.1386,17.5078,8.3193,352.64,26.9447,310.4225,5.5876,8.3193,13.7828,217.2958,176.3821,166.3865,228.471,50.8472,807.0985,30.3593,24.5855,43.4592,6.3326,1776.8584,394.8574,620.845
3,383.1851,318.2808,12.6064,9.486,411.8928,424.3744,33.8875,232.1578,13.2929,145.9723,11.9823,139.7939,282.0842,405.652,17.0998,11.171,270.8507,24.6512,29.0197,242.143,24.9632,223.4206,283.3323,25.4001,18.4728,37.4448,16.2885,756.385,293.3176,584.1389,289.5731,683.9917,391.9222,21.7804,1157.0443,23.1534,52.8596,459.3229,269.6026,343.244,6.9273,25.8993,10.2973,19.2217,202.2019,647.795,105.2823,17.0374,324.5216,214.6835,374.448,478.0453,68.1495,314.5363,8.1754,515.4901,222.1725,205.9464,8.3003,14.9779,7.7386,225.917,2.1843,180.9832,9.4236,38.6306,4.8678,214.6835,17.0374,429.367,224.6688,697.7214,16.4757,14.7283,208.4427,37.4448,545.4459,2919.4462,16.6629,285.8286,17.9111,8.9868,345.7403,29.0197,346.9885,5.9288,8.0506,11.2334,203.4501,185.1645,161.0126,210.939,49.7392,800.0706,31.3912,24.0271,40.9396,5.3047,1798.5986,370.7035,624.08
4,391.9614,340.9442,14.1853,10.7012,434.2684,411.8706,32.1035,245.1314,14.0608,148.4476,10.3901,135.6311,293.66,355.8761,16.985,11.3855,257.5747,23.5799,30.797,216.512,25.0109,241.3985,282.4611,26.3174,17.9182,39.3828,15.9273,717.9738,296.1486,581.0984,323.5237,653.269,340.9442,19.5359,1148.5092,22.9577,52.8837,410.6263,222.7336,349.6545,7.2793,27.4995,13.8742,20.4691,242.6428,686.8657,104.7097,15.8029,324.768,223.978,391.9614,425.5581,66.9445,309.8362,8.8347,577.3654,220.245,210.2904,8.9591,15.3052,7.7148,207.8018,2.3642,185.404,8.1503,39.5694,4.9773,205.3131,16.985,391.9614,214.0234,633.3599,16.9228,14.3097,223.978,37.5163,489.0185,2898.0259,16.3628,314.8135,18.3537,8.5858,347.1658,28.1839,396.9387,6.035,7.4659,10.8878,194.1142,187.5815,169.2278,201.5802,47.7197,719.2181,30.7348,24.2643,43.0535,7.3415,1774.4032,373.2966,622.161
5,381.3616,340.0996,14.5668,13.754,468.8872,401.3675,34.8852,245.0717,13.4414,144.9799,10.0654,91.2767,292.5856,330.0966,15.8796,11.6909,268.8287,23.0067,33.6348,225.0659,23.1318,267.5783,262.5769,28.2583,17.005,37.6985,15.7546,698.9546,302.5886,622.6823,318.8433,706.4568,336.3485,19.3182,1119.0776,21.6313,50.8274,411.3704,268.8287,381.3616,7.8773,31.8218,15.1919,21.1312,240.0703,743.9678,108.9069,17.6302,283.8331,255.0747,421.3733,407.6193,62.4558,321.3441,8.8776,570.1669,225.0659,211.3119,8.7526,14.0666,6.5019,196.3075,2.1256,202.5593,8.7526,43.7003,5.4391,226.3162,15.317,368.858,207.5608,626.4334,16.1922,15.317,207.5608,33.7599,468.8872,3050.893,16.4423,336.3485,17.3176,8.69,296.3367,27.1329,433.877,5.8767,8.3149,11.5034,198.8082,184.0539,200.0586,191.306,48.8893,706.4568,29.9463,21.3813,45.951,8.0649,1702.9985,388.8638,625.183
6,313.8957,325.1063,14.7606,14.5114,434.7207,327.5975,35.8115,237.913,14.3246,134.0908,10.65,115.8425,326.3519,305.1764,15.3211,12.643,221.72,21.6115,33.0712,234.1762,24.165,295.2115,285.2465,29.7703,15.072,37.0571,17.6878,666.4056,269.0535,606.616,277.7728,732.4234,292.7202,18.7466,1067.4946,19.743,55.4923,352.5099,249.1236,406.0715,7.536,31.1404,16.629,20.615,230.4393,779.7569,113.1021,18.0615,280.264,276.5272,397.3521,392.3697,57.9835,346.2818,9.7781,553.0544,246.6324,215.4919,11.086,13.3904,6.0412,193.0708,1.993,224.2112,9.2176,39.9843,5.107,231.6849,13.3904,376.1766,203.0357,616.5809,18.4351,15.6948,215.4919,30.144,445.9312,3168.8522,15.1965,297.7027,16.8158,11.7711,236.6674,25.6597,418.5276,6.4772,6.9755,12.1448,203.0357,173.0786,201.7901,186.8427,56.1774,632.7739,30.0194,18.4351,42.787,8.8439,1573.2155,427.247,622.809
7,299.109,351.6721,16.0192,11.9518,478.0738,350.4206,34.9795,227.7734,16.8953,137.5401,10.7003,93.8626,319.133,344.163,17.3333,12.7027,203.9948,19.0854,32.3513,221.5159,24.592,295.3545,257.8094,30.036,16.5198,35.7304,19.2731,619.4935,269.0729,576.9424,266.5699,782.1888,321.636,18.1468,1170.1544,18.8977,51.8122,312.8755,225.2704,405.4866,8.4476,32.101,17.3959,18.9603,241.5399,773.4282,110.1322,17.7088,310.3725,322.8875,341.66,362.9356,57.0685,379.2051,10.3875,550.6609,240.2884,232.7794,10.3249,13.0156,5.2563,185.2223,2.3779,210.2523,8.0722,38.3585,4.2551,231.5279,12.515,390.4686,210.2523,580.6969,18.5848,15.5812,211.5038,29.4729,390.4686,3128.755,14.6426,297.8575,20.1492,14.9554,193.9828,28.8471,381.7081,6.9458,9.1985,12.953,230.2764,177.0875,229.0249,190.2283,59.8218,583.1999,30.8495,17.8339,40.7364,9.4488,1525.5809,455.5467,625.751
8,300.5198,367.8562,17.5199,11.0357,529.9622,362.8683,34.5411,243.1592,14.5895,126.8168,11.0357,168.341,281.8152,374.091,16.5847,11.7215,163.3531,20.0762,29.5532,216.9728,23.5677,320.4713,206.997,27.9945,13.8414,34.4164,20.5127,594.8047,310.4955,549.9138,286.8031,778.1093,312.9895,18.8292,1124.7669,18.8916,49.6294,295.5319,213.2319,336.6819,8.7911,31.8601,16.3353,16.5224,219.4667,775.6153,116.7787,18.1434,321.7183,311.7425,379.0789,351.6455,54.3055,385.3137,12.0956,546.1729,239.4182,193.2804,9.477,12.7191,4.115,178.3167,2.4939,216.9728,8.417,35.5386,4.6761,240.6652,14.5895,428.9577,189.5394,576.1001,16.0236,16.5847,195.7743,30.4261,372.844,3284.519,17.2705,314.2364,18.6422,16.8964,210.7379,27.7451,345.4107,6.1725,12.7191,14.2778,225.7016,170.3361,241.9122,172.0819,60.6027,532.4562,34.354,16.0859,37.7208,9.1029,1485.1413,374.091,623.485
9,263.1434,377.1723,17.7935,12.1547,517.5154,380.9315,36.1509,254.372,15.726,122.487,9.5233,199.2372,313.266,352.111,15.0368,11.1523,157.8861,19.7358,27.6927,229.3107,22.9311,357.1232,215.527,27.3794,13.6584,33.0182,19.4225,570.1441,350.8579,531.2991,264.3965,773.1405,317.0252,17.9815,1080.1412,18.1068,50.0599,296.9762,241.8414,369.6539,8.2702,31.9531,16.0392,17.6682,195.478,788.1773,122.3617,18.0441,344.5926,305.7476,365.8947,352.111,52.8793,413.5111,12.7813,622.7728,276.9271,208.0086,11.7788,12.28,4.3857,191.7188,2.4435,263.1434,9.7739,34.8978,4.5737,233.0699,15.8513,414.7642,186.7065,590.1931,15.6006,19.8611,187.9596,32.4544,360.8824,3408.3341,16.6658,305.7476,17.3549,13.4078,191.7188,27.1288,295.7231,5.8894,12.0921,13.909,219.2862,168.2865,236.8291,166.6575,58.3301,496.2133,36.4642,17.9815,34.8978,9.3353,1456.0604,390.956,626.532
10,197.2993,355.888,17.6695,10.9888,440.8017,377.1165,35.2766,252.2435,14.4853,123.437,7.6173,182.3146,339.6546,398.3449,13.736,10.4269,149.8476,19.2929,27.1599,255.9896,21.4157,362.1317,184.812,24.1005,14.4853,36.338,19.7299,601.8879,343.4007,508.2331,284.7104,750.4867,338.4058,16.4208,1077.654,18.6685,49.6995,303.4414,284.7104,367.1266,9.3655,37.6492,15.4218,17.0452,177.3197,755.4816,117.0684,16.8579,359.6342,312.1825,384.6088,330.9134,51.5725,430.8119,13.4863,626.8625,263.482,202.2943,11.9878,14.1731,3.6838,161.0862,2.2477,273.4719,11.0513,34.902,4.87,233.5125,15.2969,402.0911,181.0658,563.1772,14.2355,19.6675,214.7816,33.7157,373.3703,3326.6167,15.2345,314.68,17.5447,12.9244,202.2943,27.035,270.9744,5.7442,12.3,14.4853,229.7663,168.8283,239.7562,152.3451,56.4426,491.9996,35.901,18.3563,32.5919,10.6142,1431.0446,388.355,624.365
