,1,2,3,4,5,6,7,8,9,10,11
0,1254.4164,889.44653,975.77905,1236.417,877.5157,1115.1974,477.01666,1033.2549,801.84045,503.78714,1016.4825
1,1260.0576,887.9747,974.0985,1235.4318,878.21295,1116.0183,477.70898,1036.6453,801.0837,501.21738,1014.857
2,1261.0337,889.3307,975.8168,1233.5834,880.8485,1117.3463,476.93512,1034.98,800.74634,500.06015,1019.0554
3,1261.0414,887.11536,976.31366,1234.7952,884.2109,1113.5569,475.48065,1035.7698,800.2664,497.92413,1025.2345
4,1263.894,890.68317,978.069,1239.0428,881.58624,1112.6443,473.4138,1035.5603,803.5133,497.80798,1029.3895
5,1268.244,889.75037,978.8957,1237.8213,885.3631,1112.6793,473.0773,1035.4905,806.4638,495.51605,1033.2479
6,1271.0696,888.9959,977.57227,1236.1973,887.97437,1114.9797,472.97974,1037.1726,810.4661,491.859,1033.443
7,1272.2665,889.9867,977.30884,1234.3279,893.3847,1113.7112,472.7089,1035.4944,814.417,493.73425,1030.8811
8,1276.2454,893.42316,976.6668,1232.5254,891.53687,1113.2432,471.34317,1036.1249,817.08,493.20016,1035.7614
9,1277.92,891.86395,974.9539,1231.6653,894.9593,1113.6306,471.63028,1035.6101,822.03973,494.01904,1036.776
10,1276.4489,897.52185,976.4643,1232.7651,893.3942,1112.1118,473.15207,1034.3188,823.74445,493.59064,1041.0759
11,1283.2561,897.9442,980.9959,1234.116,896.0163,1110.3506,473.06302,1034.5166,828.98047,492.3015,1035.309
12,1284.779,898.27466,982.64233,1232.2413,897.6888,1111.1027,476.1388,1036.5548,833.0875,491.94467,1037.8722
13,1282.6509,900.36774,980.07544,1232.3569,904.31824,1104.7599,476.6865,1035.2933,839.79193,490.76654,1041.8829
14,1285.04,896.08765,981.89514,1227.605,905.9566,1107.621,473.65805,1036.3701,841.2934,489.95154,1045.6074
15,1286.9646,896.3844,980.0792,1228.9712,903.6849,1107.7635,473.28284,1035.0306,844.0644,489.52258,1041.947
16,1288.9772,896.73914,978.10754,1225.7413,902.6995,1106.4811,471.96475,1037.2057,842.54034,488.82172,1047.0988
17,1288.5912,894.2064,980.3039,1220.2686,902.5999,1105.2214,470.19888,1041.4193,840.04645,487.15692,1050.0436
18,1286.7501,891.8303,980.03033,1220.4977,905.338,1101.9069,469.92834,1043.4836,840.80365,488.57004,1046.8683
19,1288.41,892.0678,980.5516,1226.8939,908.0313,1099.5199,472.63138,1041.3326,840.976,487.72287,1046.2014
20,1293.0056,892.42566,980.06946,1227.15,913.47864,1095.9283,471.5397,1041.1963,839.12244,488.512,1046.5686
21,1297.0247,894.1062,980.14764,1226.4408,917.4483,1095.793,470.11035,1038.6389,841.37476,488.24496,1045.9917
22,1303.6658,897.0748,984.489,1227.2997,919.0688,1094.3795,472.79623,1038.8263,842.9989,488.36966,1048.1534
23,1302.3047,897.69995,987.1864,1229.7904,917.89105,1095.4701,474.42514,1039.6901,843.6955,488.5812,1052.2241
24,1302.4353,893.068,986.68976,1230.2632,916.7361,1093.7488,471.92593,1039.1503,841.5536,484.98044,1053.7388
25,1304.5128,894.45795,981.7161,1235.9666,917.2545,1093.2611,472.4674,1040.6959,843.9994,485.65417,1056.6613
26,1309.2882,893.47327,978.16125,1234.5203,916.67194,1093.8918,473.78357,1041.3046,841.80774,487.1728,1058.5908
27,1311.6243,889.1664,983.4537,1235.6835,915.1212,1096.2412,473.102,1041.884,845.41284,488.58237,1057.2666
28,1310.4697,886.48303,983.419,1239.0789,916.5869,1096.0286,474.7687,1040.9144,848.4756,487.45886,1059.1637
29,1305.3414,884.66815,986.37616,1237.8887,918.32214,1095.3593,474.1488,1043.27,851.64557,489.20123,1061.4503
30,1309.6619,885.21246,985.6049,1237.283,921.9643,1098.5458,472.48752,1045.3715,851.10443,487.0509,1065.3229
31,1308.8502,884.3271,985.4141,1234.3678,922.7605,1094.5007,472.6954,1040.6367,849.43805,487.66104,1063.9523
32,1312.8129,880.4571,988.473,1233.9691,926.2444,1092.1335,473.12836,1039.7405,850.6568,488.38388,1064.4749
33,1310.1545,880.1602,988.8842,1231.3481,927.2025,1095.8248,474.31805,1044.6143,858.3455,486.47656,1063.671
34,1311.9972,881.1926,988.3448,1231.851,929.83405,1096.295,477.39743,1045.094,866.37524,485.70102,1065.5157
35,1312.3514,881.88556,987.52045,1231.9889,931.2104,1094.0768,477.20416,1045.0768,864.4586,487.70062,1066.1296
36,1315.5544,877.3033,989.1964,1234.064,926.332,1090.5444,477.23505,1042.7361,864.7559,490.37616,1066.7657
37,1314.7593,878.99866,990.85645,1229.6547,931.02075,1090.0629,480.931,1041.0311,866.4365,491.70267,1069.1138
38,1317.3324,879.83685,990.72095,1227.7865,932.41144,1090.7831,481.30087,1042.421,867.05707,492.33,1071.53
39,1319.7551,877.0921,988.9651,1228.6267,933.07947,1088.8796,482.6204,1044.4991,871.41846,494.38937,1071.9021
40,1320.8273,878.393,990.14453,1231.3086,935.863,1088.9374,481.84656,1046.8804,875.48285,495.02704,1076.4036
41,1319.6877,878.50165,986.593,1235.3839,938.6713,1090.5847,481.5359,1046.6072,872.7942,493.76053,1080.0898
42,1322.4902,876.8202,987.0869,1236.1708,940.7498,1088.0651,481.57623,1046.9768,875.1521,491.97446,1082.523
43,1326.5912,878.00555,990.27295,1236.6744,941.3272,1090.0844,480.3772,1047.1707,874.23193,487.9832,1083.8214
44,1325.9497,879.3186,987.44617,1237.022,941.75836,1090.1061,480.96875,1042.0997,874.3263,487.06174,1089.5702
45,1329.1488,877.0989,987.15405,1234.9753,941.9841,1093.1381,481.1403,1041.1113,877.6623,486.44467,1090.8529
46,1330.3583,876.1581,983.5042,1238.2141,940.7128,1089.4369,480.57248,1039.5355,885.801,486.3472,1093.4844
47,1330.9984,874.1751,983.87164,1235.5367,938.96045,1086.3005,483.4833,1038.2216,891.0896,485.30286,1096.8899
48,1337.8932,875.7782,982.58844,1236.5392,939.67395,1086.694,481.47537,1039.8424,891.79034,486.7666,1099.7399
49,1342.7101,878.62463,984.2048,1242.182,943.6348,1089.9896,482.4669,1039.3114,895.32623,486.02985,1101.0134
50,1343.3649,876.35004,981.5751,1241.2233,948.22363,1091.3064,482.42758,1037.3508,899.1083,486.9341,1102.6118
51,1339.14,883.0801,976.1395,1240.0499,949.4979,1091.4564,479.1186,1039.5404,899.66174,489.5332,1105.5092
52,1339.4722,878.7052,975.9796,1242.5514,952.34717,1091.9551,478.35492,1041.7351,903.33417,492.38425,1107.0718
53,1342.1495,878.56903,975.0858,1243.2268,950.57513,1093.2557,478.46564,1043.4142,904.6563,492.25732,1109.589
54,1339.3038,879.122,973.32184,1244.6022,952.37756,1092.2286,477.00912,1044.5299,907.03845,491.24677,1111.7684
55,1341.4597,876.6039,974.18005,1243.2944,952.9721,1091.8323,474.77502,1041.1888,911.2379,493.13962,1110.9032
56,1343.8746,875.68787,975.06647,1242.1409,955.6719,1091.6799,473.42258,1039.711,915.5284,495.1857,1109.7528
57,1344.063,874.0368,979.2052,1245.6842,952.6524,1092.3182,475.01532,1038.7567,914.8402,496.4802,1115.5017
58,1343.9604,872.8338,981.91614,1243.9387,949.0687,1091.1196,476.73438,1035.3688,912.3653,494.61377,1116.4912
59,1347.8071,871.33594,981.8179,1244.1179,948.65027,1094.452,477.4744,1036.1345,910.2876,494.6623,1119.1641
60,1347.447,870.03394,984.13275,1242.2126,951.68604,1094.7869,477.28452,1036.4476,907.8368,495.14816,1113.556
61,1351.955,874.961,984.13745,1246.7773,950.44745,1093.8578,475.2376,1034.5071,908.3717,498.4106,1114.2386
62,1355.3446,872.1074,981.9793,1244.32,954.2439,1094.9878,475.5285,1032.1418,909.9517,499.34247,1109.6693
63,1354.5162,872.9753,983.3575,1245.8008,954.08453,1096.8485,473.89624,1034.3644,912.70746,499.86633,1110.2102
64,1354.1234,872.66064,982.402,1247.8856,955.3558,1095.8427,476.13617,1030.7411,911.9021,499.9358,1108.7557
65,1356.1543,877.1064,981.1807,1247.4862,956.12866,1100.1912,477.79855,1030.8046,908.9098,499.75772,1108.3175
66,1356.7915,880.3797,981.18115,1248.2194,959.34015,1100.7803,477.4608,1027.2406,912.839,499.4135,1111.2784
67,1355.3589,882.1142,979.9712,1248.1693,954.2509,1098.7781,476.27097,1021.2852,912.75323,499.8144,1107.2506
68,1357.3784,885.0549,981.36304,1252.2477,957.48413,1098.9436,476.86578,1019.6511,913.0304,498.92175,1101.6561
69,1358.0364,888.9665,982.69916,1253.5247,952.8536,1100.1123,479.51578,1023.1871,915.22614,501.5995,1101.9672
70,1356.4926,886.7019,983.8063,1251.9248,952.04346,1099.2301,479.1032,1020.9336,912.26843,501.39584,1104.597
71,1356.213,888.3502,985.6188,1254.8392,954.4275,1097.4275,481.36896,1017.3281,909.8692,501.1562,1104.7668
72,1358.6536,889.0873,985.6918,1254.3282,953.5023,1098.3052,483.26663,1019.55634,906.7773,500.48895,1103.3978
73,1355.7079,887.96674,984.0356,1259.4158,955.5193,1096.7231,481.46097,1022.3843,908.54376,500.25577,1103.2882
74,1356.7712,895.4946,986.55774,1258.4176,954.26355,1093.5973,481.43414,1018.744,910.8472,499.56805,1099.9175
75,1359.769,894.9067,984.80835,1256.0256,955.63367,1092.836,481.24667,1017.1872,909.2466,498.93103,1099.9973
76,1360.094,894.4451,985.73474,1258.9944,955.5993,1093.9988,483.90607,1016.6446,911.60394,497.1317,1096.4021
77,1357.1622,890.96484,987.04584,1257.187,960.6932,1093.4291,484.3253,1021.17255,911.4259,496.15884,1093.5715
78,1355.0385,891.67444,988.0756,1258.8308,959.3728,1098.1613,483.63873,1024.1243,913.2381,497.0011,1093.15
79,1353.7023,889.62244,985.4054,1257.8947,956.55115,1095.7894,480.66354,1024.7845,911.04895,495.82394,1093.7975
80,1353.7068,891.3817,989.0881,1255.8813,955.63464,1097.0947,481.61716,1022.6703,915.05817,497.30954,1090.0691
81,1352.9905,886.766,985.4498,1258.0544,955.4938,1095.0221,483.08203,1019.5568,915.36163,498.90167,1089.6802
