,node,past1,past2,past3
151,2.2851,2.2976,2.2801,2.2813
152,2.2824,2.2851,2.2976,2.2801
153,2.2714,2.2824,2.2851,2.2976
154,2.2665,2.2714,2.2824,2.2851
155,2.276,2.2665,2.2714,2.2824
156,2.2918,2.276,2.2665,2.2714
157,2.293,2.2918,2.276,2.2665
158,2.289,2.293,2.2918,2.276
159,2.282,2.289,2.293,2.2918
160,2.2762,2.282,2.289,2.293
161,2.2715,2.2762,2.282,2.289
162,2.2624,2.2715,2.2762,2.282
163,2.2498,2.2624,2.2715,2.2762
164,2.2419,2.2498,2.2624,2.2715
165,2.2401,2.2419,2.2498,2.2624
166,2.2381,2.2401,2.2419,2.2498
167,2.2397,2.2381,2.2401,2.2419
168,2.2543,2.2397,2.2381,2.2401
169,2.267,2.2543,2.2397,2.2381
170,2.2574,2.267,2.2543,2.2397
171,2.2538,2.2574,2.267,2.2543
172,2.2584,2.2538,2.2574,2.267
173,2.2624,2.2584,2.2538,2.2574
174,2.2634,2.2624,2.2584,2.2538
175,2.2607,2.2634,2.2624,2.2584
176,2.2545,2.2607,2.2634,2.2624
177,2.2466,2.2545,2.2607,2.2634
178,2.2453,2.2466,2.2545,2.2607
179,2.2426,2.2453,2.2466,2.2545
180,2.2378,2.2426,2.2453,2.2466
181,2.2305,2.2378,2.2426,2.2453
182,2.2217,2.2305,2.2378,2.2426
183,2.2172,2.2217,2.2305,2.2378
184,2.2092,2.2172,2.2217,2.2305
185,2.2036,2.2092,2.2172,2.2217
186,2.2047,2.2036,2.2092,2.2172
187,2.2072,2.2047,2.2036,2.2092
188,2.2069,2.2072,2.2047,2.2036
189,2.2072,2.2069,2.2072,2.2047
190,2.2096,2.2072,2.2069,2.2072
191,2.2067,2.2096,2.2072,2.2069
192,2.2038,2.2067,2.2096,2.2072
193,2.194,2.2038,2.2067,2.2096
194,2.2008,2.194,2.2038,2.2067
195,2.194,2.2008,2.194,2.2038
196,2.1907,2.194,2.2008,2.194
197,2.1874,2.1907,2.194,2.2008
198,2.1843,2.1874,2.1907,2.194
199,2.1788,2.1843,2.1874,2.1907
200,2.1765,2.1788,2.1843,2.1874
201,2.176,2.1765,2.1788,2.1843
202,2.1855,2.176,2.1765,2.1788
203,2.1879,2.1855,2.176,2.1765
204,2.2068,2.1879,2.1855,2.176
205,2.2267,2.2068,2.1879,2.1855
206,2.2361,2.2267,2.2068,2.1879
207,2.2266,2.2361,2.2267,2.2068
208,2.2158,2.2266,2.2361,2.2267
209,2.2112,2.2158,2.2266,2.2361
210,2.2078,2.2112,2.2158,2.2266
211,2.1987,2.2078,2.2112,2.2158
212,2.1992,2.1987,2.2078,2.2112
213,2.21,2.1992,2.1987,2.2078
214,2.2226,2.21,2.1992,2.1987
215,2.2246,2.2226,2.21,2.1992
216,2.219,2.2246,2.2226,2.21
217,2.2254,2.219,2.2246,2.2226
218,2.2301,2.2254,2.219,2.2246
219,2.2272,2.2301,2.2254,2.219
