,train predictions,actual
230,[923.6837],[922.6]
231,[923.083],[922.4]
232,[922.76416],[921.]
233,[920.9748],[922.]
234,[922.7271],[922.]
235,[922.2674],[919.9]
236,[919.80585],[923.8]
237,[925.48413],[926.4]
238,[927.34216],[926.4]
239,[927.1459],[924.2]
240,[924.39166],[924.7]
241,[925.5873],[924.4]
242,[924.6704],[921.4]
243,[921.02856],[921.4]
244,[921.8983],[924.]
245,[924.91876],[926.2]
246,[927.13226],[926.]
247,[926.5358],[927.7]
248,[928.97614],[929.2]
249,[930.20233],[930.9]
250,[932.10126],[929.]
251,[929.11536],[929.9]
252,[930.97833],[927.8]
253,[927.5562],[924.8]
254,[924.54095],[925.8]
255,[926.4258],[927.2]
256,[927.67786],[926.8]
257,[927.0396],[926.3]
258,[926.70074],[925.8]
259,[926.1367],[925.9]
260,[926.39014],[923.8]
261,[923.59235],[925.6]
262,[926.64105],[926.]
263,[926.3073],[927.]
264,[927.86176],[927.7]
265,[928.39417],[928.5]
266,[929.3413],[929.6]
267,[930.50684],[927.7]
268,[927.73376],[930.7]
269,[932.2838],[931.1]
270,[931.4821],[930.2]
271,[930.6737],[931.4]
272,[932.34827],[934.1]
273,[935.32153],[934.3]
274,[934.8688],[934.]
275,[934.67163],[932.4]
276,[932.5373],[932.5]
277,[933.09094],[932.1]
278,[932.29156],[932.9]
279,[933.54974],[934.1]
280,[934.7887],[933.2]
281,[933.399],[934.3]
282,[935.2298],[934.5]
283,[934.94604],[937.]
284,[938.30286],[938.9]
285,[939.88556],[937.6]
286,[937.8994],[935.4]
287,[935.5256],[935.9]
288,[936.562],[936.3]
289,[936.6501],[938.]
290,[938.88586],[937.]
291,[937.0752],[937.4]
292,[938.15204],[937.6]
293,[938.0457],[936.8]
294,[937.0519],[940.1]
295,[941.554],[943.3]
296,[944.5197],[943.9]
297,[944.7358],[943.6]
298,[944.3494],[945.9]
299,[947.28436],[943.9]
300,[943.78296],[941.9]
301,[942.0654],[940.8]
302,[940.8243],[941.1]
303,[941.4135],[944.3]
304,[945.42096],[945.7]
305,[946.35114],[946.1]
306,[946.86633],[947.2]
307,[948.1732],[951.5]
308,[953.3463],[948.9]
309,[948.6226],[945.2]
310,[945.0951],[943.2]
311,[943.03143],[944.4]
312,[944.86725],[945.2]
313,[945.4233],[942.8]
314,[942.38605],[944.3]
315,[945.2182],[948.]
316,[949.23615],[949.1]
317,[949.8227],[950.9]
318,[952.1851],[949.3]
319,[949.44836],[948.7]
320,[949.305],[948.7]
321,[949.08673],[948.6]
322,[948.9198],[947.5]
323,[947.5137],[944.8]
324,[944.373],[942.7]
325,[942.40234],[942.]
326,[941.9094],[940.4]
327,[939.9841],[940.]
328,[940.07434],[940.3]
329,[940.5097],[940.9]
330,[941.31836],[943.5]
331,[944.6144],[942.8]
332,[942.9743],[942.]
333,[942.4841],[942.3]
334,[942.8663],[942.8]
335,[943.3315],[945.6]
336,[946.8394],[947.1]
337,[947.92017],[944.1]
338,[943.8839],[943.7]
339,[944.33856],[943.]
340,[943.0442],[942.6]
341,[942.82904],[942.3]
342,[942.47205],[943.3]
343,[943.9012],[943.5]
344,[943.85077],[946.2]
345,[947.4715],[946.2]
346,[946.57336],[945.8]
347,[946.39886],[945.6]
348,[946.06934],[946.8]
349,[947.6111],[947.5]
350,[948.06964],[945.4]
351,[945.27124],[945.4]
352,[945.9574],[945.1]
353,[945.2465],[942.3]
354,[941.82935],[940.3]
355,[940.0946],[940.9]
356,[941.2087],[946.2]
357,[947.8308],[949.2]
358,[950.2484],[950.3]
359,[951.4298],[950.5]
360,[951.42413],[951.9]
361,[953.0972],[951.4]
362,[951.82306],[949.3]
363,[949.3198],[948.]
364,[948.0835],[946.4]
365,[946.1531],[944.6]
366,[944.2759],[946.1]
367,[946.69666],[945.5]
368,[945.35547],[944.8]
369,[945.0126],[943.2]
370,[943.05005],[941.9]
371,[941.8773],[941.4]
372,[941.48285],[941.6]
373,[941.85767],[943.9]
374,[944.821],[943.6]
375,[943.7953],[945.5]
376,[946.6879],[944.5]
377,[944.6078],[946.]
378,[947.1354],[948.6]
379,[949.7202],[951.2]
380,[952.4905],[951.8]
381,[952.6219],[952.4]
382,[953.36646],[952.3]
383,[952.89484],[955.5]
384,[957.0417],[953.3]
385,[953.01044],[951.2]
386,[951.3723],[951.7]
387,[952.1716],[953.5]
388,[954.1941],[952.9]
389,[952.98425],[953.2]
390,[953.80524],[952.1]
391,[952.1221],[953.7]
392,[954.63666],[953.1]
393,[953.14905],[955.1]
394,[956.2191],[956.1]
395,[956.6785],[954.]
396,[953.9407],[955.3]
397,[956.28156],[954.]
398,[953.82446],[954.5]
399,[955.155],[955.9]
400,[956.53516],[957.7]
401,[958.58984],[954.4]
402,[953.8612],[954.2]
403,[954.8326],[952.6]
404,[952.2568],[952.7]
405,[953.0621],[951.4]
406,[951.12213],[950.3]
407,[950.2868],[952.2]
408,[952.964],[953.3]
409,[953.7679],[951.8]
410,[951.80664],[953.8]
411,[954.9448],[956.2]
412,[957.162],[956.1]
413,[956.58167],[957.8]
414,[958.9782],[957.5]
415,[957.8622],[958.1]
416,[958.914],[957.1]
417,[957.2095],[957.4]
418,[957.98663],[958.6]
419,[959.23315],[958.7]
420,[959.06903],[955.9]
421,[955.5256],[952.1]
422,[951.44775],[948.6]
423,[947.7585],[947.8]
424,[947.52704],[950.1]
425,[950.5809],[948.9]
426,[948.4869],[950.4]
427,[951.2971],[950.3]
428,[950.48694],[952.7]
429,[953.95636],[952.2]
430,[952.39764],[949.3]
431,[949.12006],[948.1]
432,[948.243],[948.3]
433,[948.5287],[946.9]
434,[946.6357],[948.5]
435,[949.28394],[949.2]
436,[949.53827],[947.]
437,[946.8064],[946.7]
438,[947.1393],[944.2]
439,[943.6866],[943.8]
440,[944.0566],[944.4]
441,[944.6553],[949.6]
442,[951.3609],[950.3]
443,[950.7189],[950.7]
444,[951.7164],[950.2]
445,[950.70197],[949.6]
446,[950.05804],[953.3]
447,[954.85046],[956.3]
448,[957.44196],[955.7]
449,[956.1777],[952.2]
450,[951.97546],[951.4]
451,[951.7786],[951.2]
452,[951.27563],[951.2]
453,[951.39087],[953.1]
454,[953.8832],[958.7]
455,[960.6211],[960.7]
456,[961.68744],[962.1]
457,[963.4854],[961.9]
458,[962.6437],[961.1]
459,[961.64014],[962.2]
460,[963.06537],[961.3]
461,[961.34827],[962.9]
462,[963.8487],[961.6]
463,[961.4354],[960.3]
464,[960.4408],[959.8]
465,[959.9261],[961.9]
466,[962.74054],[964.3]
467,[965.1772],[965.5]
468,[966.291],[965.]
469,[965.4527],[965.9]
470,[966.78894],[962.4]
471,[961.7523],[962.3]
472,[962.83813],[961.5]
473,[961.2696],[957.7]
474,[956.80194],[959.2]
475,[959.88904],[961.9]
476,[962.5398],[965.2]
477,[966.43286],[966.9]
478,[967.876],[968.2]
479,[969.33563],[967.3]
480,[967.71985],[962.1]
481,[961.238],[959.7]
482,[959.49615],[959.8]
483,[959.71454],[958.]
484,[957.33563],[958.5]
485,[958.7812],[958.8]
486,[958.89197],[960.7]
487,[961.5405],[957.6]
488,[956.9533],[954.1]
489,[953.68695],[955.2]
490,[955.72156],[958.1]
491,[958.87213],[960.]
492,[960.75525],[960.2]
493,[960.7731],[958.7]
494,[958.8888],[957.4]
495,[957.5806],[954.2]
496,[953.57715],[954.3]
497,[954.61145],[955.4]
498,[955.6593],[956.9]
499,[957.50793],[959.9]
500,[961.11206],[961.6]
501,[962.54706],[962.2]
502,[963.08325],[964.1]
503,[965.3566],[968.2]
504,[969.97424],[974.]
505,[976.30145],[976.7]
506,[978.2569],[977.6]
507,[978.9717],[982.]
508,[984.28314],[985.5]
509,[987.1928],[990.6]
510,[993.0309],[993.3]
511,[994.90735],[999.5]
512,[1002.44305],[1005.4]
513,[1007.96857],[1004.6]
514,[1005.4574],[1005.8]
515,[1007.45575],[1010.4]
516,[1012.4063],[1013.4]
517,[1014.8054],[1014.9]
518,[1016.11694],[1016.1]
519,[1017.1989],[1018.1]
520,[1019.3249],[1017.4]
521,[1017.6747],[1016.4]
522,[1016.66235],[1018.7]
523,[1019.6896],[1021.6]
524,[1022.5773],[1024.6]
525,[1025.8612],[1027.5]
526,[1028.8839],[1030.3]
527,[1031.7786],[1033.5]
528,[1035.1508],[1037.5]
529,[1039.3982],[1036.6]
530,[1036.9928],[1034.8]
531,[1035.1133],[1032.7]
532,[1032.444],[1034.1]
533,[1034.6747],[1035.7]
534,[1036.0461],[1039.8]
535,[1041.2114],[1042.4]
536,[1043.407],[1043.7]
537,[1044.7205],[1045.9]
538,[1047.206],[1049.4]
539,[1050.9884],[1052.7]
540,[1054.2247],[1053.1]
541,[1053.8475],[1056.9]
542,[1058.811],[1060.]
543,[1061.3357],[1063.2]
544,[1064.8539],[1065.]
545,[1066.1744],[1066.9]
546,[1068.193],[1067.3]
547,[1067.967],[1066.5]
548,[1066.7826],[1071.7]
549,[1073.6935],[1075.8]
550,[1077.1149],[1078.6]
551,[1080.0929],[1080.3]
552,[1081.5295],[1080.7]
553,[1081.524],[1083.6]
554,[1085.0958],[1086.]
555,[1087.0669],[1087.6]
556,[1088.5939],[1088.6]
557,[1089.4017],[1092.1]
558,[1093.6638],[1099.4]
559,[1102.0392],[1101.4]
560,[1102.498],[1100.1]
561,[1100.7465],[1101.1]
562,[1102.1735],[1101.8]
563,[1102.298],[1101.6]
564,[1101.8221],[1100.9]
565,[1100.8873],[1102.]
566,[1102.4762],[1102.6]
567,[1102.791],[1105.1]
568,[1106.071],[1104.5]
569,[1104.4259],[1104.6]
570,[1105.0552],[1102.6]
571,[1102.0972],[1101.5]
572,[1101.345],[1102.5]
573,[1102.7104],[1104.4]
574,[1104.8713],[1104.4]
575,[1104.4427],[1106.1]
576,[1106.9213],[1106.1]
577,[1106.2327],[1106.8]
578,[1107.3634],[1101.7]
579,[1100.2256],[1101.5]
580,[1101.7543],[1102.]
581,[1101.7158],[1100.]
582,[1099.2317],[1101.1]
583,[1101.4613],[1100.6]
584,[1100.2322],[1100.2]
585,[1100.1981],[1102.7]
586,[1103.5175],[1099.1]
587,[1097.9291],[1095.4]
588,[1094.6198],[1096.6]
589,[1096.8185],[1097.6]
590,[1097.491],[1097.3]
591,[1097.1608],[1097.1]
592,[1097.1332],[1095.2]
593,[1094.6667],[1093.3]
594,[1092.8083],[1091.4]
595,[1090.6982],[1089.2]
596,[1088.3232],[1087.2]
597,[1086.3348],[1088.4]
598,[1088.4998],[1089.1]
599,[1088.9805],[1087.9]
600,[1087.5426],[1087.4]
601,[1087.3784],[1085.]
602,[1084.2332],[1083.7]
603,[1083.3435],[1082.4]
604,[1081.7849],[1082.2]
605,[1081.9811],[1081.6]
606,[1081.2153],[1081.]
607,[1080.7644],[1079.7]
608,[1079.2465],[1081.1]
609,[1081.543],[1078.4]
610,[1077.4095],[1081.]
611,[1082.0477],[1082.7]
612,[1082.9805],[1080.6]
613,[1080.2004],[1080.4]
614,[1080.6842],[1080.7]
615,[1080.7828],[1080.3]
616,[1080.2235],[1078.6]
617,[1078.1464],[1081.2]
618,[1082.0948],[1079.9]
619,[1079.3181],[1080.5]
620,[1081.019],[1083.3]
621,[1084.1685],[1081.7]
622,[1081.3042],[1083.6]
623,[1084.6423],[1082.9]
624,[1082.6774],[1083.9]
625,[1084.561],[1085.3]
626,[1085.7932],[1086.8]
627,[1087.4766],[1084.5]
628,[1084.0142],[1084.8]
629,[1085.2843],[1085.3]
630,[1085.3965],[1086.1]
631,[1086.4418],[1087.1]
632,[1087.5048],[1085.9]
633,[1085.6842],[1082.8]
634,[1082.0789],[1079.6]
635,[1078.6713],[1077.4]
636,[1076.5029],[1076.8]
637,[1076.2372],[1077.8]
638,[1077.7365],[1077.3]
639,[1076.914],[1076.6]
640,[1076.4475],[1073.8]
641,[1072.9474],[1070.5]
642,[1069.5247],[1068.9]
643,[1068.2084],[1065.1]
644,[1063.5281],[1063.7]
645,[1063.0228],[1063.9]
646,[1063.4655],[1063.]
647,[1062.4071],[1063.8]
648,[1063.986],[1062.6]
649,[1062.124],[1061.9]
650,[1061.8372],[1058.9]
651,[1057.9442],[1058.]
652,[1057.7769],[1054.2]
653,[1052.7428],[1055.3]
654,[1055.5823],[1056.2]
655,[1056.0068],[1056.2]
656,[1056.1998],[1058.]
657,[1058.6775],[1056.6]
658,[1056.2623],[1057.1]
659,[1057.6245],[1055.6]
660,[1055.1652],[1055.3]
661,[1055.4127],[1058.5]
662,[1059.4565],[1058.9]
663,[1058.9886],[1056.2]
664,[1055.7511],[1055.9]
665,[1056.1213],[1054.1]
666,[1053.4675],[1053.4]
667,[1053.2394],[1052.9]
668,[1052.5939],[1052.8]
669,[1052.7085],[1056.5]
670,[1057.6263],[1059.]
671,[1059.7504],[1059.7]
672,[1060.3578],[1060.2]
673,[1060.8689],[1061.3]
674,[1062.0425],[1062.5]
675,[1063.1724],[1063.7]
676,[1064.3721],[1063.1]
677,[1063.2067],[1066.9]
678,[1068.4447],[1064.6]
679,[1063.9384],[1065.]
680,[1065.7328],[1064.]
681,[1063.6774],[1063.7]
682,[1063.8049],[1063.5]
683,[1063.4191],[1065.1]
684,[1065.6442],[1064.8]
685,[1064.7058],[1064.1]
686,[1064.1409],[1065.1]
687,[1065.5509],[1063.7]
688,[1063.3024],[1061.8]
689,[1061.4258],[1060.2]
690,[1059.7065],[1058.7]
691,[1058.1249],[1058.]
692,[1057.6289],[1055.9]
693,[1055.0619],[1054.]
694,[1053.3414],[1053.3]
695,[1052.898],[1052.9]
696,[1052.5642],[1052.6]
697,[1052.3955],[1052.9]
698,[1052.9578],[1050.7]
699,[1050.0212],[1049.4]
700,[1049.1499],[1049.8]
701,[1049.8253],[1049.8]
702,[1049.6876],[1048.2]
703,[1047.7455],[1048.4]
704,[1048.5695],[1049.2]
705,[1049.383],[1048.9]
706,[1048.8716],[1048.3]
707,[1048.2893],[1048.2]
708,[1048.2935],[1051.1]
709,[1052.0796],[1050.3]
710,[1050.0789],[1046.2]
711,[1045.3562],[1043.8]
712,[1043.2754],[1042.6]
713,[1042.0099],[1044.2]
714,[1044.4337],[1045.5]
715,[1045.6462],[1044.8]
716,[1044.6855],[1042.5]
717,[1042.0507],[1041.5]
718,[1041.3702],[1039.7]
719,[1039.0682],[1040.2]
720,[1040.3265],[1038.2]
721,[1037.3893],[1037.5]
722,[1037.3835],[1034.8]
723,[1033.8362],[1038.]
724,[1039.0311],[1036.4]
725,[1035.586],[1036.]
726,[1036.2533],[1037.3]
727,[1037.7047],[1037.6]
728,[1037.7725],[1038.1]
729,[1038.493],[1041.3]
730,[1042.498],[1041.5]
731,[1041.7335],[1041.5]
732,[1042.0299],[1041.6]
733,[1041.944],[1040.]
734,[1039.7561],[1037.]
735,[1036.294],[1033.2]
736,[1032.0663],[1034.3]
737,[1034.4758],[1035.7]
738,[1035.6703],[1033.8]
739,[1033.1804],[1034.5]
740,[1034.9371],[1034.8]
741,[1034.8522],[1036.1]
742,[1036.6886],[1039.5]
743,[1040.699],[1036.4]
744,[1035.6716],[1032.9]
745,[1032.456],[1033.3]
746,[1033.488],[1034.5]
747,[1034.6322],[1033.2]
748,[1032.768],[1031.9]
749,[1031.6862],[1027.6]
750,[1026.311],[1024.6]
751,[1023.74927],[1023.1]
752,[1022.3099],[1022.4]
753,[1021.8278],[1019.3]
754,[1018.0816],[1018.]
755,[1017.5465],[1020.8]
756,[1021.3992],[1021.1]
757,[1020.9876],[1022.4]
758,[1023.10876],[1019.8]
759,[1019.2065],[1019.7]
760,[1020.1153],[1021.1]
761,[1021.51447],[1021.4]
762,[1021.58203],[1021.1]
763,[1021.2569],[1019.2]
764,[1018.8559],[1020.7]
765,[1021.39185],[1022.3]
766,[1022.7434],[1020.3]
767,[1019.9115],[1023.]
768,[1024.2231],[1022.5]
769,[1022.33093],[1021.6]
770,[1021.7817],[1018.2]
771,[1017.357],[1019.1]
772,[1019.5796],[1018.6]
773,[1018.20306],[1018.7]
774,[1018.85956],[1018.7]
775,[1018.73474],[1017.]
776,[1016.63196],[1017.]
777,[1017.19965],[1017.5]
778,[1017.6515],[1015.1]
779,[1014.4641],[1014.6]
780,[1014.68097],[1014.9]
781,[1014.92773],[1011.9]
782,[1011.0173],[1010.6]
783,[1010.3949],[1011.]
784,[1010.9879],[1012.6]
785,[1013.0104],[1012.]
786,[1011.86975],[1015.4]
787,[1016.76886],[1012.5]
788,[1011.70825],[1009.9]
789,[1009.752],[1007.]
790,[1006.18274],[1006.2]
791,[1005.93024],[1006.9]
792,[1006.8599],[1005.2]
793,[1004.56323],[1003.]
794,[1002.4775],[1002.1]
795,[1001.8543],[1000.3]
796,[999.67737],[997.9]
797,[997.1886],[996.4]
798,[995.8988],[996.5]
799,[996.397],[997.6]
800,[997.8258],[993.5]
801,[992.3046],[996.3]
802,[997.51733],[997.6]
803,[997.7411],[996.1]
804,[996.0162],[995.5]
805,[995.71405],[992.5]
806,[991.7722],[993.5]
807,[994.0416],[995.9]
808,[996.47906],[993.3]
809,[992.6508],[993.1]
810,[993.523],[990.7]
811,[990.0235],[991.2]
812,[991.60077],[990.2]
813,[989.81067],[991.1]
814,[991.5769],[991.4]
815,[991.5376],[992.]
816,[992.4666],[991.9]
817,[992.1319],[991.]
818,[991.07007],[992.1]
819,[992.7303],[989.8]
820,[989.24817],[991.2]
821,[992.01416],[991.9]
822,[992.0962],[992.2]
823,[992.60706],[991.5]
824,[991.59045],[991.7]
825,[992.1058],[992.]
826,[992.29767],[992.3]
