,1,2,3,4,5,6,7,8,9,10,11
w(t+1),1254.4164,889.44653,975.77905,1236.417,877.5157,1115.1974,477.01666,1033.2549,801.84045,503.78714,1016.4825
U(CPU),1504.32,4449.653,1171.7148,6181.5015,1053.1745,5579.7735,572.0929,5166.0855,960.3578,2519.109,1218.6497
U(mem),25072.0,551.757,19528.58,766.5062,17552.908,691.8919,9534.882,640.5946,16005.964,312.3695,20310.828
